Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_ANEF_Eloignement,Chrome 133.0.0.0,,,06-03-2025 11:16:51,06-03-2025 11:18:38,"1m - 47,324s",ERROR
,,,,,,,
Test Cases/Cas D Utilisations/ANEF_Eloignement_V_Nawres/TC_ANEF_Eloignement,Chrome 133.0.0.0,,,06-03-2025 11:16:52,06-03-2025 11:18:38,"1m - 46,683s",ERROR
"callTestCase(findTestCase(""Test Cases/Test Reutilisable/Main/ANEF_Eloignement_V_Nawres/ANEF_Lancer_URL_ANEF""), [""Profiles"":Profiles, ""EnvExec"":EnvExec], STOP_ON_FAILURE)",Chrome 133.0.0.0,Appel Brique Réutilisable pour lancer URl ANEF pour Agent,,06-03-2025 11:16:53,06-03-2025 11:17:02,"8,324s",PASSED
"callTestCase(findTestCase(""Test Cases/Test Reutilisable/Main/ANEF_Eloignement_V_Nawres/ANEF_Identification""), [""Profiles"":Profiles, ""IdentifiantAgent"":IdentifiantAgent, ""PwAgent"":PwAgent, ""EnvExec"":EnvExec], STOP_ON_FAILURE)",Chrome 133.0.0.0,Appel Brique Réutilisable pour Identification Agent,,06-03-2025 11:17:02,06-03-2025 11:17:14,"12,675s",PASSED
"callTestCase(findTestCase(""Test Cases/Test Reutilisable/Main/ANEF_Eloignement_V_Nawres/ANEF_Creation_ou_Recherche_Dossier""), [""CreationOuRecherche"":CreationOuRecherche, ""NumeroEtranger"":NumeroEtranger], STOP_ON_FAILURE)",Chrome 133.0.0.0,Appel Brique Réutilisable pour Creation ou Recherche de dossier avec un numero etranger ,,06-03-2025 11:17:14,06-03-2025 11:17:38,"24,193s",PASSED
"if (CreationOuRecherche == ""Creation"")",Chrome 133.0.0.0,,,06-03-2025 11:17:38,06-03-2025 11:17:38,"0,008s",PASSED
println(NumeroEtranger),Chrome 133.0.0.0,,,06-03-2025 11:17:38,06-03-2025 11:17:38,"0,007s",PASSED
"callTestCase(findTestCase(""Test Cases/Test Reutilisable/Main/ANEF_Eloignement_V_Nawres/ANEF_Prendre_Mesure""), [""Mesure"":Mesure, ""FondementLegal"":FondementLegal, ""NatureDeLacteExpulsion"":NatureDeLacteExpulsion, ""NatureDeLacteExpulsion"":NatureDeLacteExpulsion, ... ], STOP_ON_FAILURE)",Chrome 133.0.0.0,"Appel Brique Réutilisable pour Prendre une Mesure selon les Choix : OQTF , Expulsion ,IAT ,ITF ,ExecutionFicheSIS, RemiseSchengen, TransfertDublin",,06-03-2025 11:17:38,06-03-2025 11:18:19,"40,256s",PASSED
AbrogationRetrait = false,Chrome 133.0.0.0,,,06-03-2025 11:18:19,06-03-2025 11:18:19,"0,006s",PASSED
"callTestCase(findTestCase(""Test Cases/Test Reutilisable/Main/ANEF_Eloignement_V_Nawres/ANEF_Ajouter_Decision_Et_Notification""), [""AbrogationRetrait"":false, ""ModeNotification"":ModeNotification], STOP_ON_FAILURE)",Chrome 133.0.0.0,,,06-03-2025 11:18:19,06-03-2025 11:18:33,"14,407s",PASSED
"callTestCase(findTestCase(""Test Cases/Test Reutilisable/Main/ANEF_Eloignement_V_Nawres/ANEF_Prendre_Mesure_Execution""), [""AjouterMesureExecution"":AjouterMesureExecution, ""TypeMesureExecution"":TypeMesureExecution, ""FondementLegalMesure"":FondementLegalMesure, ... ], STOP_ON_FAILURE)",Chrome 133.0.0.0,,,06-03-2025 11:18:33,06-03-2025 11:18:33,"0,049s",ERROR
Video,Chrome 133.0.0.0,,,06-03-2025 11:18:38,06-03-2025 11:18:38,"0,002s",PASSED
