Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_ANEF_Eloignement_OQTF,Chrome 132.0.0.0,,,11-02-2025 15:03:09,11-02-2025 15:05:05,"1m - 55,528s",PASSED
,,,,,,,
Test Cases/Cas D Utilisations/A_Version_Nawres/Eloignement_OQTF,Chrome 132.0.0.0,,,11-02-2025 15:03:10,11-02-2025 15:05:05,"1m - 55,044s",PASSED
"callTestCase(findTestCase(""Test Cases/Test Reutilisable/Main/AVersion_Nawres/ANEF_Lancer_URL_ANEF""), [""Profiles"":Profiles, ""EnvExec"":EnvExec], STOP_ON_FAILURE)",Chrome 132.0.0.0,Appel Brique Réutilisable pour lancer URl ANEF pour Agent,,11-02-2025 15:03:11,11-02-2025 15:03:20,"8,986s",PASSED
"callTestCase(findTestCase(""Test Cases/Test Reutilisable/Main/AVersion_Nawres/ANEF_Identification""), [""Profiles"":Profiles, ""IdentifiantAgent"":IdentifiantAgent, ""PwAgent"":PwAgent, ""EnvExec"":EnvExec], STOP_ON_FAILURE)",Chrome 132.0.0.0,Appel Brique Réutilisable pour Identification Agent,,11-02-2025 15:03:20,11-02-2025 15:03:34,"13,165s",PASSED
"callTestCase(findTestCase(""Test Cases/Test Reutilisable/Main/AVersion_Nawres/ANEF_Creation_ou_Recherche_Dossier""), [""CreationOuRecherche"":CreationOuRecherche], STOP_ON_FAILURE)",Chrome 132.0.0.0,Appel Brique Réutilisable pour Creation ou Recherche de dossier avec un numero etranger ,,11-02-2025 15:03:34,11-02-2025 15:04:11,"37,663s",PASSED
"if (CreationOuRecherche == ""Creation"")",Chrome 132.0.0.0,,,11-02-2025 15:04:11,11-02-2025 15:04:35,"24,035s",PASSED
println(NumeroEtranger),Chrome 132.0.0.0,,,11-02-2025 15:04:35,11-02-2025 15:04:35,"0,011s",PASSED
"callTestCase(findTestCase(""Test Cases/Test Reutilisable/Main/AVersion_Nawres/ANEF_Prendre_Mesure""), [""Mesure"":Mesure, ""FondementLegal"":FondementLegal, ""NatureDeLacteExpulsion"":NatureDeLacteExpulsion, ""NatureDeLacteExpulsion"":NatureDeLacteExpulsion, ... ], STOP_ON_FAILURE)",Chrome 132.0.0.0,"Appel Brique Réutilisable pour Prendre une Mesure selon les Choix : OQTF , Expulsion ,IAT ,ITF ,ExecutionFicheSIS, RemiseSchengen, TransfertDublin",,11-02-2025 15:04:35,11-02-2025 15:05:02,"26,464s",PASSED
Video,Chrome 132.0.0.0,,,11-02-2025 15:05:05,11-02-2025 15:05:05,"0,001s",PASSED
