Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_ANEF_Eloignement,Chrome 133.0.0.0,,,13-02-2025 15:49:48,13-02-2025 15:50:42,"53,824s",FAILED
,,,,,,,
Test Cases/Cas D Utilisations/ANEF_Eloignement_V_Nawres/TC_ANEF_Eloignement,Chrome 133.0.0.0,,,13-02-2025 15:49:48,13-02-2025 15:50:42,"53,454s",FAILED
"callTestCase(findTestCase(""Test Cases/Test Reutilisable/Main/ANEF_Eloignement_V_Nawres/ANEF_Lancer_URL_ANEF""), [""Profiles"":Profiles, ""EnvExec"":EnvExec], STOP_ON_FAILURE)",Chrome 133.0.0.0,Appel Brique Réutilisable pour lancer URl ANEF pour Agent,,13-02-2025 15:49:49,13-02-2025 15:49:55,"5,809s",PASSED
"callTestCase(findTestCase(""Test Cases/Test Reutilisable/Main/ANEF_Eloignement_V_Nawres/ANEF_Identification""), [""Profiles"":Profiles, ""IdentifiantAgent"":IdentifiantAgent, ""PwAgent"":PwAgent, ""EnvExec"":EnvExec], STOP_ON_FAILURE)",Chrome 133.0.0.0,Appel Brique Réutilisable pour Identification Agent,,13-02-2025 15:49:55,13-02-2025 15:50:07,"11,845s",PASSED
"callTestCase(findTestCase(""Test Cases/Test Reutilisable/Main/ANEF_Eloignement_V_Nawres/ANEF_Creation_ou_Recherche_Dossier""), [""CreationOuRecherche"":CreationOuRecherche, ""NumeroEtranger"":NumeroEtranger], STOP_ON_FAILURE)",Chrome 133.0.0.0,Appel Brique Réutilisable pour Creation ou Recherche de dossier avec un numero etranger ,,13-02-2025 15:50:07,13-02-2025 15:50:29,"21,501s",PASSED
"if (CreationOuRecherche == ""Creation"")",Chrome 133.0.0.0,,,13-02-2025 15:50:29,13-02-2025 15:50:29,"0,005s",PASSED
println(NumeroEtranger),Chrome 133.0.0.0,,,13-02-2025 15:50:29,13-02-2025 15:50:29,"0,007s",PASSED
"callTestCase(findTestCase(""Test Cases/Test Reutilisable/Main/ANEF_Eloignement_V_Nawres/ANEF_Prendre_Mesure""), [""Mesure"":Mesure, ""FondementLegal"":FondementLegal, ""NatureDeLacteExpulsion"":NatureDeLacteExpulsion, ""NatureDeLacteExpulsion"":NatureDeLacteExpulsion, ... ], STOP_ON_FAILURE)",Chrome 133.0.0.0,"Appel Brique Réutilisable pour Prendre une Mesure selon les Choix : OQTF , Expulsion ,IAT ,ITF ,ExecutionFicheSIS, RemiseSchengen, TransfertDublin",,13-02-2025 15:50:29,13-02-2025 15:50:38,"9,526s",FAILED
Video,Chrome 133.0.0.0,,,13-02-2025 15:50:42,13-02-2025 15:50:42,"0,001s",PASSED
