Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_ANEF_Eloignement_OQTF,Chrome 132.0.0.0,,,11-02-2025 15:10:12,11-02-2025 15:12:11,"1m - 58,902s",FAILED
,,,,,,,
Test Cases/Cas D Utilisations/A_Version_Nawres/Eloignement_OQTF,Chrome 132.0.0.0,,,11-02-2025 15:10:12,11-02-2025 15:12:11,"1m - 58,486s",FAILED
"callTestCase(findTestCase(""Test Cases/Test Reutilisable/Main/AVersion_Nawres/ANEF_Lancer_URL_ANEF""), [""Profiles"":Profiles, ""EnvExec"":EnvExec], STOP_ON_FAILURE)",Chrome 132.0.0.0,Appel Brique Réutilisable pour lancer URl ANEF pour Agent,,11-02-2025 15:10:14,11-02-2025 15:10:21,"7,243s",PASSED
"callTestCase(findTestCase(""Test Cases/Test Reutilisable/Main/AVersion_Nawres/ANEF_Identification""), [""Profiles"":Profiles, ""IdentifiantAgent"":IdentifiantAgent, ""PwAgent"":PwAgent, ""EnvExec"":EnvExec], STOP_ON_FAILURE)",Chrome 132.0.0.0,Appel Brique Réutilisable pour Identification Agent,,11-02-2025 15:10:21,11-02-2025 15:10:34,"12,898s",PASSED
"callTestCase(findTestCase(""Test Cases/Test Reutilisable/Main/AVersion_Nawres/ANEF_Creation_ou_Recherche_Dossier""), [""CreationOuRecherche"":CreationOuRecherche], STOP_ON_FAILURE)",Chrome 132.0.0.0,Appel Brique Réutilisable pour Creation ou Recherche de dossier avec un numero etranger ,,11-02-2025 15:10:34,11-02-2025 15:11:12,"37,806s",PASSED
"if (CreationOuRecherche == ""Creation"")",Chrome 132.0.0.0,,,11-02-2025 15:11:12,11-02-2025 15:11:36,"24,335s",PASSED
println(NumeroEtranger),Chrome 132.0.0.0,,,11-02-2025 15:11:36,11-02-2025 15:11:36,"0,011s",PASSED
"callTestCase(findTestCase(""Test Cases/Test Reutilisable/Main/AVersion_Nawres/ANEF_Prendre_Mesure""), [""Mesure"":Mesure, ""FondementLegal"":FondementLegal, ""NatureDeLacteExpulsion"":NatureDeLacteExpulsion, ""NatureDeLacteExpulsion"":NatureDeLacteExpulsion, ... ], STOP_ON_FAILURE)",Chrome 132.0.0.0,"Appel Brique Réutilisable pour Prendre une Mesure selon les Choix : OQTF , Expulsion ,IAT ,ITF ,ExecutionFicheSIS, RemiseSchengen, TransfertDublin",,11-02-2025 15:11:36,11-02-2025 15:12:06,"29,758s",FAILED
Video,Chrome 132.0.0.0,,,11-02-2025 15:12:11,11-02-2025 15:12:11,"0,000s",PASSED
