Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_ANEF_Eloignement,Chrome 133.0.0.0,,,06-03-2025 11:33:48,06-03-2025 11:35:36,"1m - 47,485s",PASSED
,,,,,,,
Test Cases/Cas D Utilisations/ANEF_Eloignement_V_Nawres/TC_ANEF_Eloignement,Chrome 133.0.0.0,,,06-03-2025 11:33:49,06-03-2025 11:35:36,"1m - 46,902s",PASSED
"callTestCase(findTestCase(""Test Cases/Test Reutilisable/Main/ANEF_Eloignement_V_Nawres/ANEF_Lancer_URL_ANEF""), [""Profiles"":Profiles, ""EnvExec"":EnvExec], STOP_ON_FAILURE)",Chrome 133.0.0.0,Appel Brique Réutilisable pour lancer URl ANEF pour Agent,,06-03-2025 11:33:51,06-03-2025 11:33:58,"7,286s",PASSED
"callTestCase(findTestCase(""Test Cases/Test Reutilisable/Main/ANEF_Eloignement_V_Nawres/ANEF_Identification""), [""Profiles"":Profiles, ""IdentifiantAgent"":IdentifiantAgent, ""PwAgent"":PwAgent, ""EnvExec"":EnvExec], STOP_ON_FAILURE)",Chrome 133.0.0.0,Appel Brique Réutilisable pour Identification Agent,,06-03-2025 11:33:58,06-03-2025 11:34:11,"13,070s",PASSED
"callTestCase(findTestCase(""Test Cases/Test Reutilisable/Main/ANEF_Eloignement_V_Nawres/ANEF_Creation_ou_Recherche_Dossier""), [""CreationOuRecherche"":CreationOuRecherche, ""NumeroEtranger"":NumeroEtranger], STOP_ON_FAILURE)",Chrome 133.0.0.0,Appel Brique Réutilisable pour Creation ou Recherche de dossier avec un numero etranger ,,06-03-2025 11:34:11,06-03-2025 11:34:34,"23,244s",PASSED
"if (CreationOuRecherche == ""Creation"")",Chrome 133.0.0.0,,,06-03-2025 11:34:34,06-03-2025 11:34:34,"0,005s",PASSED
println(NumeroEtranger),Chrome 133.0.0.0,,,06-03-2025 11:34:34,06-03-2025 11:34:34,"0,006s",PASSED
"callTestCase(findTestCase(""Test Cases/Test Reutilisable/Main/ANEF_Eloignement_V_Nawres/ANEF_Prendre_Mesure""), [""Mesure"":Mesure, ""FondementLegal"":FondementLegal, ""NatureDeLacteExpulsion"":NatureDeLacteExpulsion, ""NatureDeLacteExpulsion"":NatureDeLacteExpulsion, ... ], STOP_ON_FAILURE)",Chrome 133.0.0.0,"Appel Brique Réutilisable pour Prendre une Mesure selon les Choix : OQTF , Expulsion ,IAT ,ITF ,ExecutionFicheSIS, RemiseSchengen, TransfertDublin",,06-03-2025 11:34:34,06-03-2025 11:35:14,"39,743s",PASSED
"callTestCase(findTestCase(""Test Cases/Test Reutilisable/Main/ANEF_Eloignement_V_Nawres/ANEF_Ajouter_Decision_Et_Notification""), [""AbrogationRetrait"":false, ""ModeNotification"":ModeNotification], STOP_ON_FAILURE)",Chrome 133.0.0.0,,,06-03-2025 11:35:14,06-03-2025 11:35:29,"14,832s",PASSED
"callTestCase(findTestCase(""Test Cases/Test Reutilisable/Main/ANEF_Eloignement_V_Nawres/ANEF_Prendre_Mesure_Execution""), [""AjouterMesureExecution"":AjouterMesureExecution, ""TypeMesureExecution"":TypeMesureExecution, ""FondementLegalMesure"":FondementLegalMesure, ... ], STOP_ON_FAILURE)",Chrome 133.0.0.0,,,06-03-2025 11:35:29,06-03-2025 11:35:33,"4,279s",PASSED
Video,Chrome 133.0.0.0,,,06-03-2025 11:35:36,06-03-2025 11:35:36,"0,002s",PASSED
